tax_code,description
5703 21 00,– –Turf 8 m2
5703 29,– –Other:  
5703 29 10,"– – – – Tiles, having a maximum surface area of 1 m2 8 m2"
5703 29 19,– – – – Other 8 m2
5703 29 91,"– – – – Tiles, having a maximum surface area of 1 m2 8 m2"
5703 29 99,– – – – Other 8 m2
5703 31 00,– –Turf 8 m2
5703 39,– –Other:  
5703 39 10,"– – – – Tiles, having a maximum surface area of 1 m2 8 m2"
5703 39 19,– – – – Other 8 m2
5703 39 91,"– – – – Tiles, having a maximum surface area of 1 m2 8 m2"
5703 39 99,– – – – Other 8 m2
5703 90,–Of other textile materials:  
5703 90 20,"– – Tiles, having a maximum surface area of 1 m2 8 m2"
5703 90 80,– – Other 8 m2
5704,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up:  "
5704 10 00,"–Tiles, having a maximum surface area of 0,3 m2 6,7 m2"
5704 20 00,"–Tiles, having a maximum surface area exceeding 0,3 m2, but not exceeding 1 m2 6,7 m2"
5704 90 00,"–Other 6,7 m2"
5705 00,"Other carpets and other textile floor coverings, whether or not made up:  "
5705 00 30,– Of man-made textile materials 8 m2
5705 00 80,– Of other textile materials 8 m2
5801,"Woven pile fabrics and chenille fabrics, other than fabrics of heading 5802  or 5806 :  "
5801 10 00,–Of wool or fine animal hair 8 m2
5801 21 00,– –Uncut weft pile fabrics 8 m2
5801 22 00,– –Cut corduroy 8 m2
5801 23 00,– –Other weft pile fabrics 8 m2
5801 26 00,– –Chenille fabrics 8 m2
5801 27 00,– –Warp pile fabrics 8 m2
5801 31 00,– –Uncut weft pile fabrics 8 m2
5801 32 00,– –Cut corduroy 8 m2
5801 33 00,– –Other weft pile fabrics 8 m2
5801 36 00,– –Chenille fabrics 8 m2
5801 37 00,– –Warp pile fabrics 8 m2
5801 90,–Of other textile materials:  
5801 90 10,– – Of flax 8 m2
5801 90 90,– – Other 8 m2
5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading 5806 ; tufted textile fabrics, other than products of heading 5703 :  "
5802 10 00,"–Terry towelling and similar woven terry fabrics, of cotton 8 m2"
5802 20 00,"–Terry towelling and similar woven terry fabrics, of other textile materials 8 m2"
5802 30 00,–Tufted textile fabrics 8 m2
5803 00,"Gauze, other than narrow fabrics of heading 5806 :  "
5803 00 10,"– Of cotton 5,8 m2"
5803 00 30,"– Of silk or silk waste 7,2 m2"
5803 00 90,– Other 8 m2
5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of headings 6002  to 6006 :  "
5804 10,–Tulles and other net fabrics:  
5804 10 10,"– – Plain 6,5 —"
5804 10 90,– – Other 8 —
5804 21 00,– –Of man-made fibres 8 —
5804 29 00,– –Of other textile materials 8 —
5804 30 00,–Handmade lace 8 —
5805 00 00,"Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries (for example, petit point, cross stitch), whether or not made up 5,6 —"
5806,"Narrow woven fabrics, other than goods of heading 5807 ; narrow fabrics consisting of warp without weft assembled by means of an adhesive (bolducs):  "
5806 10 00,"–Woven pile fabrics (including terry towelling and similar terry fabrics) and chenille fabrics 6,3 —"
5806 20 00,"–Other woven fabrics, containing by weight 5 % or more of elastomeric yarn or rubber thread 7,5 —"
5806 31 00,"– –Of cotton 7,5 —"
5806 32,– –Of man-made fibres:  
5806 32 10,"– – – With real selvedges 7,5 —"
5806 32 90,"– – – Other 7,5 —"
5806 39 00,"– –Of other textile materials 7,5 —"
5806 40 00,"–Fabrics consisting of warp without weft assembled by means of an adhesive (bolducs) 6,2 —"
5807,"Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered:  "
5807 10,–Woven:  
5807 10 10,"– – With woven inscription 6,2 —"
5807 10 90,"– – Other 6,2 —"
5807 90,–Other:  
5807 90 10,"– – Of felt or nonwovens 6,3 —"
5807 90 90,– – Other 8 —
5808,"Braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles:  "
5808 10 00,"–Braids, in the piece 5 —"
5808 90 00,"–Other 5,3 —"
5809 00 00,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605 , of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included 5,6 —"
5810,"Embroidery in the piece, in strips or in motifs:  "
5810 10,–Embroidery without visible ground:  
5810 10 10,"– – Of a value exceeding € 35/kg (net weight) 5,8 —"
5810 10 90,– – Other 8 —
5810 91,– –Of cotton:  
5810 91 10,"– – – Of a value exceeding € 17,50/kg (net weight) 5,8 —"
5810 91 90,"– – – Other 7,2 —"
5810 92,– –Of man-made fibres:  
5810 92 10,"– – – Of a value exceeding € 17,50/kg (net weight) 5,8 —"
5810 92 90,"– – – Other 7,2 —"
5810 99,– –Of other textile materials:  
5810 99 10,"– – – Of a value exceeding € 17,50/kg (net weight) 5,8 —"
5810 99 90,"– – – Other 7,2 —"
5811 00 00,"Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading 5810 8 m2"
5901,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations:  "
5901 10 00,"–Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like 6,5 m2"
5901 90 00,"–Other 6,5 m2"
5902,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, polyesters or viscose rayon:  "
5902 10,–Of nylon or other polyamides:  
5902 10 10,"– – Impregnated with rubber 5,6 m2"
5902 10 90,– – Other 8 m2
5902 20,–Of polyesters:  
5902 20 10,"– – Impregnated with rubber 5,6 m2"
5902 20 90,– – Other 8 m2
5902 90,–Other:  
5902 90 10,"– – Impregnated with rubber 5,6 m2"
5902 90 90,– – Other 8 m2
5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 5902 :  "
5903 10,–With poly(vinyl chloride):  
5903 10 10,– – Impregnated 8 m2
5903 10 90,"– – Coated, covered or laminated 8 m2"
5903 20,–With polyurethane:  
5903 20 10,– – Impregnated 8 m2
5903 20 90,"– – Coated, covered or laminated 8 m2"
5903 90,–Other:  
5903 90 10,– – Impregnated 8 m2
5903 90 91,"– – – With cellulose derivatives or other plastics, with the fabric forming the right side 8 m2"
5903 90 99,– – – Other 8 m2
5904,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape:  "
5904 10 00,"–Linoleum 5,3 m2"
5904 90 00,"–Other 5,3 m2"
5905 00,Textile wall coverings:  
5905 00 10,"– Consisting of parallel yarns, fixed on a backing of any material 5,8 —"
5905 00 30,– – Of flax 8 —
5905 00 50,– – Of jute 4 —
5905 00 70,– – Of man-made fibres 8 —
5905 00 90,– – Other 6 —
5906,"Rubberised textile fabrics, other than those of heading 5902 :  "
5906 10 00,"–Adhesive tape of a width not exceeding 20 cm 4,6 —"
5906 91 00,"– –Knitted or crocheted 6,5 —"
5906 99,– –Other:  
5906 99 10,– – – Fabrics mentioned in note 5(c) to this chapter 8 —
5906 99 90,"– – – Other 5,6 —"
5907 00 00,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio backcloths or the like 4,9 m2"
5908 00 00,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas-mantle fabric therefor, whether or not impregnated 5,6 —"
5909 00,"Textile hosepiping and similar textile tubing, with or without lining, armour or accessories of other materials:  "
5909 00 10,"– Of synthetic fibres 6,5 —"
5909 00 90,"– Of other textile materials 6,5 —"
5910 00 00,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material 5,1 —"
5911,"Textile products and articles, for technical uses, specified in note 8 to this chapter:  "
5911 10 00,"–Textile fabrics, felt and felt-lined woven fabrics, coated, covered or laminated with rubber, leather or other material, of a kind used for card clothing, and similar fabrics of a kind used for other technical purposes, including narrow fabrics made of velvet impregnated with rubber, for covering weaving spindles (weaving beams) 5,3 —"
5911 20 00,"–Bolting cloth, whether or not made up(119) 4,6 —"
5911 31,– –Weighing less than 650 g/m2:  
5911 31 11,"– – – – Woven fabrics, of a kind used in papermaking machines (for example, forming fabrics) 5,8 m2"
5911 31 19,"– – – – Other 5,8 —"
5911 31 90,"– – – Of other textile materials 4,4 —"
5911 32,– –Weighing 650 g/m2or more:  
5911 32 11,"– – – – Woven fabrics having a batt layer needled on them, of a kind used in papermaking machines (for example, press felts) 5,8 m2"
5911 32 19,"– – – – Other 5,8 m2"
5911 32 90,"– – – Of other textile materials 4,4 —"
5911 40 00,"–Filtering or straining cloth of a kind used in oil-presses or the like, including that of human hair 6 —"
5911 90,–Other:  
5911 90 10,– – Of felt 6 —
5911 90 91,– – – Self-adhesive circular polishing pads of a kind used for the manufacture of semiconductor wafers Free —
5911 90 99,– – – Other 6 —
6001,"Pile fabrics, including ‘long pile’ fabrics and terry fabrics, knitted or crocheted:  "
6001 10 00,–‘Long pile’ fabrics 8 —
6001 21 00,– –Of cotton 8 —
6001 22 00,– –Of man-made fibres 8 —
6001 29 00,– –Of other textile materials 8 —
6001 91 00,– –Of cotton 8 —
6001 92 00,– –Of man-made fibres 8 —
6001 99 00,– –Of other textile materials 8 —
6002,"Knitted or crocheted fabrics of a width not exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those of heading 6001 :  "
6002 40 00,"–Containing by weight 5 % or more of elastomeric yarn, but not containing rubber thread 8 —"
6002 90 00,"–Other 6,5 —"
6003,"Knitted or crocheted fabrics of a width not exceeding 30 cm, other than those of heading 6001  or 6002 :  "
6003 10 00,–Of wool or fine animal hair 8 —
6003 20 00,–Of cotton 8 —
6003 30,–Of synthetic fibres:  
6003 30 10,– – Raschel lace 8 —
6003 30 90,– – Other 8 —
6003 40 00,–Of artificial fibres 8 —
6003 90 00,–Other 8 —
6004,"Knitted or crocheted fabrics of a width exceeding 30 cm, containing by weight 5 % or more of elastomeric yarn or rubber thread, other than those of heading 6001 :  "
6004 10 00,"–Containing by weight 5 % or more of elastomeric yarn, but not containing rubber thread 8 —"
6004 90 00,"–Other 6,5 —"
6005,"Warp knit fabrics (including those made on galloon knitting machines), other than those of headings 6001  to 6004 :  "
6005 21 00,– –Unbleached or bleached 8 —
6005 22 00,– –Dyed 8 —
6005 23 00,– –Of yarns of different colours 8 —
6005 24 00,– –Printed 8 —
6005 35 00,– –Fabrics specified in subheading note 1 to this chapter 8 —
6005 36 00,"– –Other, unbleached or bleached 8 —"
6005 37 00,"– –Other, dyed 8 —"
6005 38 00,"– –Other, of yarns of different colours 8 —"
6005 39 00,"– –Other, printed 8 —"
6005 41 00,– –Unbleached or bleached 8 —
6005 42 00,– –Dyed 8 —
6005 43 00,– –Of yarns of different colours 8 —
6005 44 00,– –Printed 8 —
6005 90,–Other:  
6005 90 10,– – Of wool or fine animal hair 8 —
6005 90 90,– – Other 8 —
6006,Other knitted or crocheted fabrics:  
6006 10 00,–Of wool or fine animal hair 8 —
6006 21 00,– –Unbleached or bleached 8 —
6006 22 00,– –Dyed 8 —
6006 23 00,– –Of yarns of different colours 8 —
6006 24 00,– –Printed 8 —
6006 31 00,– –Unbleached or bleached 8 —
6006 32 00,– –Dyed 8 —
6006 33 00,– –Of yarns of different colours 8 —
6006 34 00,– –Printed 8 —
6006 41 00,– –Unbleached or bleached 8 —
6006 42 00,– –Dyed 8 —
6006 43 00,– –Of yarns of different colours 8 —
6006 44 00,– –Printed 8 —
6006 90 00,–Other 8 —
6101,"Men's or boys' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 6103 :  "
6101 20,–Of cotton:  
6101 20 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6101 20 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6101 30,–Of man-made fibres:  
6101 30 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6101 30 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6101 90,–Of other textile materials:  
6101 90 20,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6101 90 80,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6102,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks (including ski jackets), windcheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading 6104 :  "
6102 10,–Of wool or fine animal hair:  
6102 10 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6102 10 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6102 20,–Of cotton:  
6102 20 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6102 20 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6102 30,–Of man-made fibres:  
6102 30 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6102 30 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6102 90,–Of other textile materials:  
6102 90 10,"– – Overcoats, car coats, capes, cloaks and similar articles 12 p/st"
6102 90 90,"– – Anoraks (including ski jackets), windcheaters, wind-jackets and similar articles 12 p/st"
6103,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:  "
6103 10,–Suits:  
6103 10 10,– – Of wool or fine animal hair 12 p/st
6103 10 90,– – Of other textile materials 12 p/st
6103 22 00,– –Of cotton 12 p/st
6103 23 00,– –Of synthetic fibres 12 p/st
6103 29 00,– –Of other textile materials 12 p/st
6103 31 00,– –Of wool or fine animal hair 12 p/st
6103 32 00,– –Of cotton 12 p/st
6103 33 00,– –Of synthetic fibres 12 p/st
6103 39 00,– –Of other textile materials 12 p/st
6103 41 00,– –Of wool or fine animal hair 12 p/st
6103 42 00,– –Of cotton 12 p/st
6103 43 00,– –Of synthetic fibres 12 p/st
6103 49 00,– –Of other textile materials 12 p/st
6104,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted:  "
6104 13 00,– –Of synthetic fibres 12 p/st
6104 19,– –Of other textile materials:  
6104 19 20,– – – Of cotton 12 p/st
6104 19 90,– – – Of other textile materials 12 p/st
6104 22 00,– –Of cotton 12 p/st
6104 23 00,– –Of synthetic fibres 12 p/st
6104 29,– –Of other textile materials:  
6104 29 10,– – – Of wool or fine animal hair 12 p/st
6104 29 90,– – – Of other textile materials 12 p/st
6104 31 00,– –Of wool or fine animal hair 12 p/st
6104 32 00,– –Of cotton 12 p/st
6104 33 00,– –Of synthetic fibres 12 p/st
6104 39 00,– –Of other textile materials 12 p/st
6104 41 00,– –Of wool or fine animal hair 12 p/st
6104 42 00,– –Of cotton 12 p/st
6104 43 00,– –Of synthetic fibres 12 p/st
6104 44 00,– –Of artificial fibres 12 p/st
6104 49 00,– –Of other textile materials 12 p/st
6104 51 00,– –Of wool or fine animal hair 12 p/st
6104 52 00,– –Of cotton 12 p/st
6104 53 00,– –Of synthetic fibres 12 p/st
6104 59 00,– –Of other textile materials 12 p/st
6104 61 00,– –Of wool or fine animal hair 12 p/st
6104 62 00,– –Of cotton 12 p/st
6104 63 00,– –Of synthetic fibres 12 p/st
6104 69 00,– –Of other textile materials 12 p/st
6105,"Men's or boys' shirts, knitted or crocheted:  "
6105 10 00,–Of cotton 12 p/st
6105 20,–Of man-made fibres:  
6105 20 10,– – Of synthetic fibres 12 p/st
6105 20 90,– – Of artificial fibres 12 p/st
6105 90,–Of other textile materials:  
6105 90 10,– – Of wool or fine animal hair 12 p/st
6105 90 90,– – Of other textile materials 12 p/st
6106,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted:  "
6106 10 00,–Of cotton 12 p/st
6106 20 00,–Of man-made fibres 12 p/st
6106 90,–Of other textile materials:  
6106 90 10,– – Of wool or fine animal hair 12 p/st
6106 90 30,– – Of silk or silk waste 12 p/st
6106 90 50,– – Of flax or of ramie 12 p/st
6106 90 90,– – Of other textile materials 12 p/st
6107,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted:  "
6107 11 00,– –Of cotton 12 p/st
6107 12 00,– –Of man-made fibres 12 p/st
6107 19 00,– –Of other textile materials 12 p/st
6107 21 00,– –Of cotton 12 p/st
6107 22 00,– –Of man-made fibres 12 p/st
6107 29 00,– –Of other textile materials 12 p/st
6107 91 00,– –Of cotton 12 p/st
6107 99 00,– –Of other textile materials 12 p/st
6108,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, négligés, bathrobes, dressing gowns and similar articles, knitted or crocheted:  "
6108 11 00,– –Of man-made fibres 12 p/st
6108 19 00,– –Of other textile materials 12 p/st
6108 21 00,– –Of cotton 12 p/st
6108 22 00,– –Of man-made fibres 12 p/st
6108 29 00,– –Of other textile materials 12 p/st
6108 31 00,– –Of cotton 12 p/st
6108 32 00,– –Of man-made fibres 12 p/st
6108 39 00,– –Of other textile materials 12 p/st
6108 91 00,– –Of cotton 12 p/st
6108 92 00,– –Of man-made fibres 12 p/st
6108 99 00,– –Of other textile materials 12 p/st
6109,"T-shirts, singlets and other vests, knitted or crocheted:  "
6109 10 00,–Of cotton 12 p/st
6109 90,–Of other textile materials:  
6109 90 20,– – Of wool or fine animal hair or man-made fibres 12 p/st
6109 90 90,– – Of other textile materials 12 p/st
6110,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted:  "
6110 11,– –Of wool:  
6110 11 10,"– – – Jerseys and pullovers, containing at least 50 % by weight of wool and weighing 600 g or more per article 10,5 p/st"
6110 11 30,– – – – Men's or boys' 12 p/st
6110 11 90,– – – – Women's or girls' 12 p/st
6110 12,– –Of Kashmir (cashmere) goats:  
6110 12 10,– – – Men's or boys' 12 p/st
6110 12 90,– – – Women's or girls' 12 p/st
6110 19,– –Other:  
6110 19 10,– – – Men's or boys' 12 p/st
6110 19 90,– – – Women's or girls' 12 p/st
6110 20,–Of cotton:  
6110 20 10,"– – Lightweight fine knit roll, polo or turtleneck jumpers and pullovers 12 p/st"
6110 20 91,– – – Men's or boys' 12 p/st
6110 20 99,– – – Women's or girls' 12 p/st
6110 30,–Of man-made fibres:  
6110 30 10,"– – Lightweight fine knit roll, polo or turtleneck jumpers and pullovers 12 p/st"
6110 30 91,– – – Men's or boys' 12 p/st
6110 30 99,– – – Women's or girls' 12 p/st
6110 90,–Of other textile materials:  
6110 90 10,– – Of flax or ramie 12 p/st
6110 90 90,– – Of other textile materials 12 p/st
6111,"Babies' garments and clothing accessories, knitted or crocheted:  "
6111 20,–Of cotton:  
6111 20 10,"– – Gloves, mittens and mitts 8,9 pa"
6111 20 90,– – Other 12 —
6111 30,–Of synthetic fibres:  
6111 30 10,"– – Gloves, mittens and mitts 8,9 pa"
6111 30 90,– – Other 12 —
6111 90,–Of other textile materials:  
6111 90 11,"– – – Gloves, mittens and mitts 8,9 pa"
6111 90 19,– – – Other 12 —
6111 90 90,– – Of other textile materials 12 —
6112,"Tracksuits, ski suits and swimwear, knitted or crocheted:  "
6112 11 00,– –Of cotton 12 p/st
6112 12 00,– –Of synthetic fibres 12 p/st
6112 19 00,– –Of other textile materials 12 p/st
6112 20 00,–Ski suits 12 —
6112 31,– –Of synthetic fibres:  
6112 31 10,– – – Containing by weight 5 % or more of rubber thread 8 p/st
6112 31 90,– – – Other 12 p/st
6112 39,– –Of other textile materials:  
6112 39 10,– – – Containing by weight 5 % or more of rubber thread 8 p/st
6112 39 90,– – – Other 12 p/st
6112 41,– –Of synthetic fibres:  
6112 41 10,– – – Containing by weight 5 % or more of rubber thread 8 p/st
6112 41 90,– – – Other 12 p/st
6112 49,– –Of other textile materials:  
6112 49 10,– – – Containing by weight 5 % or more of rubber thread 8 p/st
6112 49 90,– – – Other 12 p/st
6113 00,"Garments, made up of knitted or crocheted fabrics of heading 5903 , 5906  or 5907 :  "
6113 00 10,– Of knitted or crocheted fabrics of heading 5906 8 —
6113 00 90,– Other 12 —
6114,"Other garments, knitted or crocheted:  "
6114 20 00,–Of cotton 12 —
6114 30 00,–Of man-made fibres 12 —
6114 90 00,–Of other textile materials 12 —
6115,"Pantyhose, tights, stockings, socks and other hosiery, including graduated compression hosiery (for example, stockings for varicose veins) and footwear without applied soles, knitted or crocheted:  "
6115 10,"–Graduated compression hosiery (for example, stockings for varicose veins):  "
6115 10 10,– – Of synthetic fibres 8 pa
6115 10 90,– – Other 12 —
6115 21 00,"– –Of synthetic fibres, measuring per single yarn less than 67 decitex 12 p/st"
6115 22 00,"– –Of synthetic fibres, measuring per single yarn 67 decitex or more 12 p/st"
6115 29 00,– –Of other textile materials 12 p/st
6115 30,"–Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex:  "
6115 30 11,– – – Knee-length stockings 12 pa
6115 30 19,– – – Other 12 pa
6115 30 90,– – Of other textile materials 12 pa
6115 94 00,– –Of wool or fine animal hair 12 pa
6115 95 00,– –Of cotton 12 pa
6115 96,– –Of synthetic fibres:  
6115 96 10,– – – Knee-length stockings 12 pa
6115 96 91,– – – – Women's stockings 12 pa
6115 96 99,– – – – Other 12 pa
6115 99 00,– –Of other textile materials 12 pa
6116,"Gloves, mittens and mitts, knitted or crocheted:  "
6116 10,"–Impregnated, coated, covered or laminated with plastics or rubber:  "
6116 10 20,"– – Gloves impregnated, coated, covered or laminated with rubber 8 pa"
6116 10 80,"– – Other 8,9 pa"
6116 91 00,"– –Of wool or fine animal hair 8,9 pa"
6116 92 00,"– –Of cotton 8,9 pa"
6116 93 00,"– –Of synthetic fibres 8,9 pa"
6116 99 00,"– –Of other textile materials 8,9 pa"
6117,"Other made-up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories:  "
6117 10 00,"–Shawls, scarves, mufflers, mantillas, veils and the like 12 —"
6117 80,–Other accessories:  
6117 80 10,"– – Knitted or crocheted, elasticated or rubberised 8 —"
6117 80 80,– – Other 12 —
6117 90 00,–Parts 12 —
6201,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 6203 :  "
6201 20 00,–Of wool or fine animal hair 12 p/st
6201 30,–Of cotton:  
6201 30 10,"– – Of a weight, per garment, not exceeding 1 kg 12 p/st"
6201 30 90,"– – Of a weight, per garment, exceeding 1 kg 12 p/st"
6201 40,–Of man-made fibres:  
6201 40 10,"– – Of a weight, per garment, not exceeding 1 kg 12 p/st"
6201 40 90,"– – Of a weight, per garment, exceeding 1 kg 12 p/st"
6201 90 00,–Of other textile materials 12 p/st
6202,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 6204 :  "
6202 20 00,–Of wool or fine animal hair 12 p/st
6202 30,–Of cotton:  
6202 30 10,"– – Of a weight, per garment, not exceeding 1 kg 12 p/st"
6202 30 90,"– – Of a weight, per garment, exceeding 1 kg 12 p/st"
6202 40,–Of man-made fibres:  
6202 40 10,"– – Of a weight, per garment, not exceeding 1 kg 12 p/st"
6202 40 90,"– – Of a weight, per garment, exceeding 1 kg 12 p/st"
6202 90 00,–Of other textile materials 12 p/st
6203,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear):  "
6203 11 00,– –Of wool or fine animal hair 12 p/st
6203 12 00,– –Of synthetic fibres 12 p/st
6203 19,– –Of other textile materials:  
6203 19 10,– – – Of cotton 12 p/st
6203 19 30,– – – Of artificial fibres 12 p/st
6203 19 90,– – – Of other textile materials 12 p/st
6203 22,– –Of cotton:  
6203 22 10,– – – Industrial and occupational 12 p/st
6203 22 80,– – – Other 12 p/st
6203 23,– –Of synthetic fibres:  
6203 23 10,– – – Industrial and occupational 12 p/st
6203 23 80,– – – Other 12 p/st
6203 29,– –Of other textile materials:  
6203 29 11,– – – – Industrial and occupational 12 p/st
6203 29 18,– – – – Other 12 p/st
6203 29 30,– – – Of wool or fine animal hair 12 p/st
6203 29 90,– – – Of other textile materials 12 p/st
6203 31 00,– –Of wool or fine animal hair 12 p/st
6203 32,– –Of cotton:  
6203 32 10,– – – Industrial and occupational 12 p/st
6203 32 90,– – – Other 12 p/st
6203 33,– –Of synthetic fibres:  
6203 33 10,– – – Industrial and occupational 12 p/st
6203 33 90,– – – Other 12 p/st
6203 39,– –Of other textile materials:  
6203 39 11,– – – – Industrial and occupational 12 p/st
6203 39 19,– – – – Other 12 p/st
6203 39 90,– – – Of other textile materials 12 p/st
6203 41,– –Of wool or fine animal hair:  
6203 41 10,– – – Trousers and breeches 12 p/st
6203 41 30,– – – Bib and brace overalls 12 p/st
6203 41 90,– – – Other 12 p/st
6203 42,– –Of cotton:  
6203 42 11,– – – – Industrial and occupational 12 p/st
6203 42 31,– – – – – Of denim 12 p/st
6203 42 33,– – – – – Of cut corduroy 12 p/st
6203 42 35,– – – – – Other 12 p/st
6203 42 51,– – – – Industrial and occupational 12 p/st
6203 42 59,– – – – Other 12 p/st
6203 42 90,– – – Other 12 p/st
6203 43,– –Of synthetic fibres:  
6203 43 11,– – – – Industrial and occupational 12 p/st
6203 43 19,– – – – Other 12 p/st
6203 43 31,– – – – Industrial and occupational 12 p/st
6203 43 39,– – – – Other 12 p/st
6203 43 90,– – – Other 12 p/st
6203 49,– –Of other textile materials:  
6203 49 11,– – – – – Industrial and occupational 12 p/st
6203 49 19,– – – – – Other 12 p/st
6203 49 31,– – – – – Industrial and occupational 12 p/st
6203 49 39,– – – – – Other 12 p/st
6203 49 50,– – – – Other 12 p/st
6203 49 90,– – – Of other textile materials 12 p/st
6204,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear):  "
6204 11 00,– –Of wool or fine animal hair 12 p/st
6204 12 00,– –Of cotton 12 p/st
6204 13 00,– –Of synthetic fibres 12 p/st
6204 19,– –Of other textile materials:  
6204 19 10,– – – Of artificial fibres 12 p/st
6204 19 90,– – – Of other textile materials 12 p/st
6204 21 00,– –Of wool or fine animal hair 12 p/st
6204 22,– –Of cotton:  
6204 22 10,– – – Industrial and occupational 12 p/st
6204 22 80,– – – Other 12 p/st
6204 23,– –Of synthetic fibres:  
6204 23 10,– – – Industrial and occupational 12 p/st
6204 23 80,– – – Other 12 p/st
6204 29,– –Of other textile materials:  
6204 29 11,– – – – Industrial and occupational 12 p/st
6204 29 18,– – – – Other 12 p/st
6204 29 90,– – – Of other textile materials 12 p/st
6204 31 00,– –Of wool or fine animal hair 12 p/st
6204 32,– –Of cotton:  
6204 32 10,– – – Industrial and occupational 12 p/st
6204 32 90,– – – Other 12 p/st
6204 33,– –Of synthetic fibres:  
6204 33 10,– – – Industrial and occupational 12 p/st
6204 33 90,– – – Other 12 p/st
6204 39,– –Of other textile materials:  
6204 39 11,– – – – Industrial and occupational 12 p/st
6204 39 19,– – – – Other 12 p/st
6204 39 90,– – – Of other textile materials 12 p/st
6204 41 00,– –Of wool or fine animal hair 12 p/st
6204 42 00,– –Of cotton 12 p/st
6204 43 00,– –Of synthetic fibres 12 p/st
6204 44 00,– –Of artificial fibres 12 p/st
6204 49,– –Of other textile materials:  
6204 49 10,– – – Of silk or silk waste 12 p/st
6204 49 90,– – – Of other textile materials 12 p/st
6204 51 00,– –Of wool or fine animal hair 12 p/st
6204 52 00,– –Of cotton 12 p/st
6204 53 00,– –Of synthetic fibres 12 p/st
